Species,Phylum/division,Ecology,n STs,n loci,r/m,95% CI,Reference
Bacillus thuringiensis,Firmicutes,Insect pathogen,22,6,0.8,0.4–1.3,Sorokin et al. (2006)
Bacillus cereus,Firmicutes,"Free-living, terrestrial (OP)",13,6,0.7,0.2–1.6,Sorokin et al. (2006)
Oenococcus oeni,Firmicutes,"Free-living, terrestrial",17,5,0.7,0.2–1.7,de Las Rivas et al. (2004)
Escherichia coli ET-1 group,γ-proteobacteria,Commensal (free-living?),44,7,0.7,0.03–2.0,Walk et al. (2007)
Listeria monocytogenes,Firmicutes,"Free-living, terrestrial (OP)",34,7,0.7,0.4–1.1,Salcedo et al. (2003)
Enterococcus faecalis,Firmicutes,Commensal (OP),37,7,0.6,0.0–3.2,Ruiz-Garbajosa et al. (2006)
Porphyromonas gingivalis,Bacteroidetes,Obligate pathogen,99,7,0.4,0.0–3.4,Enersen et al. (2006)
Yersinia pseudotuberculosis,γ-proteobacteria,Obligate pathogen,43,7,0.3,0.0–1.1,web.mpiib-berlin.mpg.de/mlst
Chlamydia trachomatis,Chlamydiae,Obligate pathogen,14,7,0.3,0.0–1.8,Pannekoek et al. (2008)
Klebsiella pneumoniae,γ-proteobacteria,"Free-living, terrestrial (OP)",45,7,0.3,0.0–2.1,Diancourt et al. (2005)
Bordetella pertussis,β-proteobacteria,Obligate pathogen,32,7,0.2,0.0–0.7,Diavatopoulos et al. (2005)
Brachyspira sp.,Spirochaetes,Commensal (OP),36,7,0.2,0.1–0.4,Rasback et al. (2007)
Clostridium difficile,Firmicutes,Commensal (OP),34,6,0.2,0.0–0.5,Lemee et al. (2004)
Bartonella henselae,α-proteobacteria,Obligate pathogen,14,7,0.1,0.0–0.7,Arvand et al. (2007)
Lactobacillus casei,Firmicutes,Commensal,32,7,0.1,0.0–0.5,Diancourt et al. (2007)
Staphylococcus aureus,Firmicutes,Commensal (OP),53,7,0.1,0.0–0.6,Enright et al. (2000)
Rhizobium gallicum,α-proteobacteria,"Free-living, terrestrial",33,3,0.1,0.0–0.3,Silva et al. (2005)
Leptospira interrogans,Spirochaetes,Commensal (OP),61,7,0.02,0.0–0.1,Thaipadungpanit et al. (2007)
